"Year","New Zealand Gazette and Wellington Spectator","New Zealand Advertiser and Bay of Islands Gazette","New Zealand Colonist and Port Nicholson Advertiser","Nelson Examiner and New Zealand Chronicle","Daily Southern Cross","New Zealand Spectator and Cook's Strait Guardian","Wellington Independent","New Zealander","Lyttelton Times","Otago Witness","Taranaki Herald","Colonist","Hawke's Bay Herald","Otago Daily Times","Southland Times","Albertland Gazette","North Otago Times","Timaru Herald","Evening Post","Bruce Herald","West Coast Times","Nelson Evening Mail","Grey River Argus","Wanganui Herald","Hawke's Bay Weekly Times","Star","Tuapeka Times","Marlborough Express","Auckland Star","Waikato Times","New Zealand Tablet","Wanganui Chronicle","Thames Star","Clutha Leader","Bay Of Plenty Times","Inangahua Times","Akaroa Mail and Banks Peninsula Advertiser","Manawatu Times","Manawatu Herald","Poverty Bay Herald","Hawera & Normanby Star","Observer","Daily Telegraph","Feilding Star","Manawatu Standard","Mataura Ensign","Te Aroha News","Ashburton Guardian","Northern Advocate","Bush Advocate","Oxford Observer","Ellesmere Guardian","Ohinemuri Gazette","Fair Play","Waimate Daily Advertiser","New Zealand Illustrated Magazine","New Zealand Free Lance","Rodney and Otamatea Times, Waitemata and Kaipara Gazette","Wairarapa Daily Times","Otautau Standard and Wallace County Chronicle","Progress","NZ Truth","Waiapu Church Times","Kai Tiaki","Waiapu Church Gazette","Kaipara and Waitemata Echo","Hutt News"
1839,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,691,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,1803,,771,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,1839,,1047,955,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,934,,,952,787,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,,,,876,258,753,810,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,,,,885,,1287,1833,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,,,,649,348,1653,2092,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,,,,722,755,1649,2043,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,,,,592,1179,1421,1782,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,,,,618,1569,1150,1727,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,,,,639,1514,,2036,1859,1061,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,,,,687,1764,1272,2300,2017,1532,848,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,,,,1198,1900,1974,2482,,1446,867,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,,,,1469,2332,1782,2499,,1849,678,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,,,,2079,3243,,361,,2914,764,959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
